"p1"	"upper"
ROSA RAMOSISSIMA WHOLE	ALPINIA OFFICINARUM
BIDENS PILOSA L.	MELILOTUS ALBUS
BOLDU CHILANUM WHOLE	TILIA AMERICANA
NASTURTIUM OFFICINALE R.BR.	BOLBOSCHOENUS FLUVIATILIS
ULMUS MONUMENTALIS WHOLE	MACLURA TINCTORIA
GIANT ARBOR-VITAE WHOLE	ERECHTITES HIERACIFOLIUS
BOHADSCHIA HUMIFUSA WHOLE	DACTYLORHIZA INCARNATA
CAROB [HOC]	SALVIA PRATENSIS
CLEMATIS SCABIOSIFOLIA WHOLE	FICUS SUR
PIGEONWINGS WHOLE	AFRAMOMUM MELEGUETA
RANUNCULUS SQUARROSUS WHOLE	GLADIOLUS DALENII
CHRISTMASBERRY WHOLE	AGRIMONIA EUPATORIA
RANUNCULUS NAPELLIFOLIUS WHOLE	TABERNAEMONTANA AURANTIACA
RUMEX RENIFORMIS WHOLE	AESCULUS PAVIA
PALISOTA HIRSUTA WHOLE	TRIFOLIUM PRATENSE
ESCHSCHOLZIA BRANDEGEEI WHOLE	CORDIA DENTATA
BUSH MINT WHOLE	VACCINIUM ANGUSTIFOLIUM
SOLANUM SCIAPHILUM WHOLE	SWALLOWWORT
SENNA OBTUSIFOLIA WHOLE	VITIS VINIFERA
BLACK MUSTARD WHOLE	BIDENS PILOSA
GYMNEMA HUMILE WHOLE	ANCHUSA OFFICINALIS
AGELAEA DEMEUSEI WHOLE	PIPER SARMENTOSUM
SLOE WHOLE	CINNAMOMUM CAMPHORA
SMILAX GLABRA ROXB.	TARAXACUM OFFICINALE
GARCINIA GERRARDII	ANEMOPSIS CALIFORNICA
SHAME LADY WHOLE	VICIA FABA
CURCUMA ZEDOARIA WHOLE	RUBUS TRIVIALIS
SEDUM TELEPHIUM WHOLE	VACCINIUM ANGUSTIFOLIUM
CASPAREA DIVARICATA WHOLE	VERBASCUM THAPSUS
CITRULLUS LANATUS (THUNB.) MATSUM. & NAKAI	FERULA COMMUNIS
URENA LOBATA [WHO-DD]	CLINOPODIUM BOLIVIANUM
CAPRIFICUS SPHAEROCARPA	MIRABILIS JALAPA
ESCHSCHOLZIA CYATHIFERA WHOLE	CYCLAMEN HEDERIFOLIUM
TAMARINDUS ERYTHRAEUS WHOLE	ALCEA ROSEA
SAPOSHNIKOVIA DIVARICATA	BLUMEA LACERA
LEPIDIUM CHALEPENSE WHOLE	PRUNUS PERSICA
ULMUS ROSSEELSII WHOLE	PALIURUS SPINA-CHRISTI
OMPHALOBIUM PENTAGONUM WHOLE	YUCCA FILAMENTOSA
VITIS SILVESTRIS WHOLE	ILEX VOMITORIA
WITCH HAZEL WHOLE	CALLICARPA AMERICANA
GREWIA HEYNEI WHOLE	PILOBLEPHIS RIGIDA
LEPIDIUM MARGINATUM WHOLE	AGELAEA PENTAGYNA
RORELLA INTERMEDIA WHOLE	HYPERICUM PERFORATUM
CYNODON DONAX WHOLE	THYMUS PRAECOX
JUGLANS GLABRA WHOLE	SMILAX GLAUCA
DONIA DIGYNA WHOLE	ZALUZIANSKYA CAPENSIS
RANUNCULUS MCCALLAE WHOLE	SAMBUCUS NIGRA
BRASSICA TRIMESTRIS WHOLE	ARUM ITALICUM
PIMECARIA ODORATA WHOLE	ARUNDO DONAX
DESMODIUM KERSTENII WHOLE	PINUS PALUSTRIS
ANDROPOGON VIRGINICUS WHOLE	CYPERUS ROTUNDUS
JUSSIAEA PEPLOIDES WHOLE	ASARUM CANADENSE
WISTERIA CHINENSIS WHOLE	BRASSICA NIGRA
CUMINUM CYMINUM	CYCLAMEN HEDERIFOLIUM
CARDAMINE FONTANA WHOLE	NEPETA CATARIA
ORCHIS PALMATA WHOLE	PISTIA STRATIOTES
GALIUM AUSTRALE WHOLE	PHYSALIS VIRGINIANA
HELMINTHIA ECHIOIDES WHOLE	ALECTRA SESSILIFLORA
SALIX TESTACEA WHOLE	CENTAURIUM ERYTHRAEA
ANEILEMA ECUADORIENSE WHOLE	SAMBUCUS EBULUS
MANDRAGORA NEGLECTA WHOLE	SASSAFRAS ALBIDUM
ERYNGIUM ANTIHYSTERICUM WHOLE	JUNCUS EFFUSUS
PHYLLANTHUS NANUS WHOLE	PELTANDRA VIRGINICA
OLIVE WHOLE	WISTERIA SINENSIS
MILENRAMA WHOLE	CEPHALANTHUS OCCIDENTALIS
CAPSELLA URSINA WHOLE	ERICA MULTIFLORA
PANICUM FALSUM WHOLE	TURNERA DIFFUSA
GALIUM BRACHIATUM WHOLE	BLUMEA LACERA
HERPESTIS SPATHULATA WHOLE	PICEA ABIES
DACTYLORHIZA INTERMEDIA WHOLE	COMMELINA BENGHALENSIS
LEONURUS CRISPUS WHOLE	URARIA CRINITA
GALEGA VIRGINIANA WHOLE	MORINDA CITRIFOLIA
SALVIA EXASPERATA WHOLE	ERIGERON STRIGOSUS
DICHORISANDRA AFFINIS WHOLE	ESCHSCHOLZIA CALIFORNICA
OCIMUM SUBSERRATUM WHOLE	SWALLOWWORT
VERBASCUM LANATUM WHOLE	SALIX BABYLONICA
ACHILLEA AMBIGUA WHOLE	HELMINTHOTHECA ECHIOIDES
VERBASCUM ALATUM WHOLE	COMMELINA DIFFUSA
JUSSIAEA MENDOCINENSIS WHOLE	SENNA OBTUSIFOLIA
CARDIACA CRISPA WHOLE	TRIPSACUM DACTYLOIDES
PERSICA NUCIPERSICA WHOLE	ESCHSCHOLZIA CALIFORNICA
JIA JING JIE	ROSA CANINA
AMERICAN WITCHHAZEL WHOLE	MIRABILIS JALAPA
CECROPIA DIELSIANA WHOLE	SAPONARIA OFFICINALIS
DAPHNE MULTIFLORA WHOLE	CENTROSEMA VIRGINIANUM
KNAUTIA TIMEROYI WHOLE	PTELEA TRIFOLIATA
ESCHSCHOLZIA NITROPHILA WHOLE	VITIS VINIFERA
ARTEMISIA KULBADICA WHOLE	ALPINIA OFFICINARUM
SPERMACOCE HIRTA WHOLE	CEPHALANTHUS OCCIDENTALIS
ALLIUM PAUCIFLORUM WHOLE	BRASSICA RAPA
ARUM INDICUM WHOLE	ELDERBERRY
BOLETUS ARTEMIDORUS WHOLE	FRAXINUS AMERICANA
ROSA FRONDOSA WHOLE	SILENE LATIFOLIA
CAT'S CLAW [HOC]	NEPETA TENUIFOLIA
PEUTALIS PERSICARIA WHOLE	CAPSELLA BURSA-PASTORIS
LONICERA COCHINCHINENSIS WHOLE	CAPSELLA BURSA-PASTORIS
QI	PONTEDERIA CORDATA
PYRETHRUM PARTHENIUM [HPUS]	PINUS KESIYA
PEUMUS BOLDUS MOLINA	CNIDOSCOLUS URENS
CAPSELLA OVIFERA WHOLE	ROSA CANINA
STILLINGIA SYLVATICA	CAPSELLA BURSA-PASTORIS
SCORODONIA BOTRYS WHOLE	DACTYLORHIZA INCARNATA
SMILAX VIRGINIANA WHOLE	ECBALLIUM ELATERIUM
ACHILLEA HISPANICA WHOLE	CHIONANTHUS VIRGINICUS
BAI-ZHU ATRACTYLODES [HOC]	LION'S-TOOTH
MAESA ANGOLENSIS WHOLE	TAMARIX CHINENSIS
ORCHIS INCARNATA WHOLE	ALOCASIA MACRORRHIZOS
RUFACER CAROLINIANUM WHOLE	CRATAEGUS AZAROLUS
ERYTHRAEA PUMILA WHOLE	LINARIA VULGARIS
SOLANUM LIVIDUM WHOLE	MIKANIA BANISTERIAE
SWERTIA LUTEA WHOLE	TABERNAEMONTANA DIVARICATA
ACER DIPPELII WHOLE	JUGLANS NIGRA
PALISOTA THYRSOSTACHYA WHOLE	CERINTHE MAJOR
AGELAEA PUNCTULATA WHOLE	ULMUS MINOR
LYCHNIS OFFICINALIS WHOLE	TILIA AMERICANA
SIDA MILLERI WHOLE	RANUNCULUS ACRIS
PULEGIUM PARVIFLORUM WHOLE	ASARUM CANADENSE
CAMPHORTREE WHOLE	URTICA DIOICA
BROADLEAF SAGE WHOLE	CALLUNA VULGARIS
VITIS TRICHOPHYLLA WHOLE	NICOTIANA GLAUCA
SALVIA PRATENSIS	INDIGOFERA HIRSUTA
GALEGA VULGARIS WHOLE	NUPHAR LUTEA
RUBUS PAULUS WHOLE	WOODLAND HAWTHORN
EUPHORBIA ANTISYPHILITICA WHOLE	BERBERIS VULGARIS
BOIS-JAUNE WHOLE	MEDICAGO POLYMORPHA
RUBUS CARPINIFOLIUS WHOLE	ERYNGIUM FOETIDUM
WATER OAK WHOLE	SALIX BABYLONICA
VICIA SATIVA	RHEUM ACUMINATUM
CROTALARIA FERTILIS WHOLE	GLYCYRRHIZA INFLATA
ALOYSIA CITRODORA WHOLE	ESCHSCHOLZIA CALIFORNICA
ZALUZIANSKYA DENTATA WHOLE	NUPHAR LUTEA
SOLANUM AMERICANUM	PICEA MARIANA
XANTHIUM ITALICUM WHOLE	MEDICAGO POLYMORPHA
AZAROLUS MAROCCANA WHOLE	SAPOSHNIKOVIA DIVARICATA
APPLE OF SODOM WHOLE (SOUTH AFRICA)	NASTURTIUM OFFICINALE
JUNCUS EFFUSUS L.	ACER RUBRUM
RHUS LEUCANTHA WHOLE	SILYBUM MARIANUM
CISTUS DUNALIANUS WHOLE	CYPERUS ROTUNDUS
VENUSCUP TEASLE WHOLE	PICEA MARIANA
SWEET BALM WHOLE	ALLIUM MACROSTEMON
SIBERIAN GINSENG WHOLE	QUERCUS STELLATA
ANTHYLLIS MONOCEPHALOS WHOLE	CODONOPSIS PILOSULA
CAPSELLA GOTHICA WHOLE	GALIUM APARINE
JATROPHA URENS WHOLE	VACCINIUM ANGUSTIFOLIUM
COLLOMIA LATERITIA WHOLE	LEPIDIUM VIRGINICUM
ZEDOARY WHOLE	ESCHSCHOLZIA CALIFORNICA
APPLE OF SODOM WHOLE (SOUTH AFRICA)	PHYTOLACCA AMERICANA
EUROPEAN PENNYROYAL WHOLE	RUMEX CRISPUS
CAPSELLA GOTLANDICA WHOLE	ACHILLEA NOBILIS
AMYGDALUS LAEVIS WHOLE	RHUS CORIARIA
LUDWIGIA PLUMERIANA WHOLE	VITEX DONIANA
RUBUS ILLUSTRIS WHOLE	KNAUTIA ARVENSIS
CYPERUS WEINLANDII WHOLE	BRASSICA RAPA
TALLOW SHRUB WHOLE	CHAMOMILE
VIRGINIA PELTANDRA WHOLE	ALLIUM MACROSTEMON
RICINUS PELTATUS WHOLE	STILLINGIA SYLVATICA
ARTEMISIA ARAGONENSIS WHOLE	ACACIA SALIGNA
CENTAURIUM CENTAURIUM WHOLE	NIPHIDIUM CRASSIFOLIUM
GALIUM UNIFLORUM WHOLE	SALVIA VERBENACA
PISOPHACA DATILENSIS WHOLE	RHEUM PALMATUM
AESCULUS HIPPOCASTANUM L.	GLADIOLUS DALENII
AFROHYBANTHUS ENNEASPERMUS WHOLE	SAPOSHNIKOVIA DIVARICATA
HOLOCHLOA OVALIFOLIA WHOLE	SALIX NIGRA
REHSONIA SINENSIS WHOLE	AESCULUS PAVIA
PALIURUS ACULEATUS WHOLE	COMMIPHORA MUKUL
NAUCLEA POLYCEPHALA WHOLE	IPOMOEA PANDURATA
GALINGALE WHOLE	IMPATIENS PARVIFLORA
TALE-WORT WHOLE	SOLIDAGO ODORA
KAFFIR POTATO WHOLE	THUJA PLICATA
RANUNCULUS TRANSSILVANICUS WHOLE	ENTEROLOBIUM CYCLOCARPUM
SELINUM ANETHUM WHOLE	THONNINGIA SANGUINEA
DIANTHUS CARTHUSIANORUM WHOLE	TRIFOLIUM PRATENSE
THAPSIA STENOCARPA WHOLE	PIPER NIGRUM
CHRYSEIS DOUGLASII WHOLE	GLYCINE MAX
STEENHAMMERA VIRGINICA WHOLE	PSEUDOGNAPHALIUM OBTUSIFOLIUM
EASTERN RED-CEDAR WHOLE	TAMARIX CHINENSIS
ACHILLEA ANGUSTISSIMA WHOLE	CAPSELLA BURSA-PASTORIS
ERUCA LANCEOLATA WHOLE	CRATAEGUS MONOGYNA
CUBAN OREGANO WHOLE	ULMUS RUBRA
SCHIZONEPETA [HOC]	EQUISETUM HYEMALE
POLYPORUS WHITEAE WHOLE	ALLIUM CEPA
MELANOSINAPIS COMMUNIS WHOLE	TANACETUM PARTHENIUM
ESCHSCHOLZIA CONFINIS WHOLE	TILIA AMERICANA
PERSICA VULGARIS WHOLE	SALVIA PRATENSIS
ANDROPOGON PAUCIFLORUS WHOLE	BAUHINIA LONGIFOLIA
LEONURUS TRILOBATUS WHOLE	LUDWIGIA ERECTA
LACHNANTHES CAROLINIANA WHOLE	PERSICARIA PUNCTATA
ULMUS AMERICANA [WHO-DD]	AMPELOCISSUS LATIFOLIA
CREPIS ECHIOIDES WHOLE	PRUNELLA VULGARIS
PINUS SYLVESTRIS WHOLE	CITRUS SINENSIS
VITIS MOSCHATA WHOLE	HEMP EXTRACT
URENA CALLIFERA WHOLE	RIVINA HUMILIS
GLYCYRRHIZA VULGARIS WHOLE	VERBASCUM THAPSUS
CLINOPODIUM POLYCEPHALUM (VANIOT) C.Y.WU & S.J.HSUAN	BAPTISIA ALBA
CASTILLEJA CRISTA-GALLI WHOLE	SALVIA PRATENSIS
WILD CELERY WHOLE	VACCINIUM PALLIDUM
POLYGONUM BELLARDII WHOLE	QUERCUS LOBATA
SMYRNIUM OLUSATRUM L.	RAPHANUS RAPHANISTRUM
THUJA LOBBIANA WHOLE	RIVINA HUMILIS
SESELI ATHAMANTHOIDES WHOLE	LONICERA JAPONICA
XYPHANTHUS HEDERIFOLIUS WHOLE	TEUCRIUM BOTRYS
AZADIRACHTA INDICA A.JUSS.	PTERIDIUM AQUILINUM
PERSICARIA OPELOUSANA WHOLE	INONOTUS OBLIQUUS
ALBIZIA ROSEA WHOLE	SCRUB-PALMETTO
LEONURUS CARDIACA [HPUS]	GENTIANA OLIVIERI
DACTYLORHIZA INCARNATA WHOLE	FERULA COMMUNIS
AGELAEA GRACILIS WHOLE	MALVA SYLVESTRIS
ANGELICA PINNATA	BLACK COHOSH
IONIDIUM LINIFOLIUM WHOLE	DACTYLORHIZA INCARNATA
FOENICULUM FOENICULUM WHOLE	DIANTHUS CRENATUS
TYPHA MACRANTHELIA WHOLE	PRUNELLA VULGARIS
ROSA LAUREL WHOLE	CHAMOMILE
BERBERIS PAUCIFLORA WHOLE	ACACIA DEALBATA
VITIS BOSTURGAIENSIS WHOLE	FOENICULUM VULGARE
ARTEMISIA HERBA-ALBA ASSO	SOLIDAGO CANADENSIS
AMERICAN ELDER WHOLE	SALVIA VERBENACA
BIDENS PILOSA L.	MONESES UNIFLORA
JUGLANS DUCLOUXIANA WHOLE	ALOYSIA TRIPHYLLA
SINAPIS TURGIDA WHOLE	DICHORISANDRA HEXANDRA
RED YEAST RICE	SOLANUM AMERICANUM
COMMON SAGE WHOLE	VIBURNUM OPULUS
ONE-FLOWERED SHINLEAF WHOLE	RUBUS FLAGELLARIS
SPERMACOCE DECLINATA WHOLE	KALANCHOE CRENATA
PARILLAX LAURIFOLIA WHOLE	FOMITOPSIS PINICOLA
ULMUS ARAXINA WHOLE	SESELI LIBANOTIS
CASTORBEAN WHOLE	SENNA ALEXANDRINA
SOLANUM AURANTIACOBACCATUM WHOLE	ALOYSIA TRIPHYLLA
CURCUMA	CYANTHILLIUM CINEREUM
RUTA DIVERSIFOLIA WHOLE	JUGLANS REGIA
COMMELINA AQUATICA WHOLE	VITIS VINIFERA
BURSA ABSCISSA WHOLE	SCRUB-PALMETTO
PRUNUS CORNUTA (WALL. EX ROYLE) STEUD.	MATRICARIA CHAMOMILLA
SCLAREA PRATENSIS WHOLE	GLADIOLUS DALENII
AGELAEA DUCHESNEI WHOLE	KADSURA JAPONICA
ORNUS AMERICANA WHOLE	BORAGO OFFICINALIS
PRUNUS ARMENIACA L.	RANUNCULUS ACRIS
QUERCUS AGNOSTIFOLIA WHOLE	MEDICAGO POLYMORPHA
PONTEDERIA OVALIS WHOLE	COMBRETUM MOLLE
ST. JOHN'S WORT [HOC]	ERIGERON STRIGOSUS
PLATANTHERA PSYCODES WHOLE	BUPLEURUM CHINENSE
PINUS KHASIA WHOLE	FOMITOPSIS PINICOLA
BITTER APPLE WHOLE	SCHIZACHYRIUM SCOPARIUM
ASTRAGALUS HUMISTRATUS	KNAUTIA ARVENSIS
BERBERIS DENTATA WHOLE	GENTIANA OLIVIERI
MENTHA TOMENTOSA WHOLE	GALIUM APARINE
RAPHANISTRUM LAMPSANA WHOLE	FOENICULUM VULGARE
CACALIA KRONEANA WHOLE	RHEUM AUSTRALE
PICEA RINZI WHOLE	AESCULUS PAVIA
PORRUM AMETHYSTINUM WHOLE	ESCHSCHOLZIA CALIFORNICA
DWARF PALMETTO WHOLE	CHIONANTHUS VIRGINICUS
RHEUMATISM WEED WHOLE	CERINTHE MAJOR
TRIBULUS TERRESTRIS [WHO-DD]	EUGENIA BIFLORA
PRENANTHES LACINIATA WHOLE	DAPHNE GNIDIUM
CASTILLEJA MINIATA WHOLE	AMORPHA FRUTICOSA
ROSE MILKWEED WHOLE	EMILIA SONCHIFOLIA
BURSA HEEGERI WHOLE	FRANGULA ALNUS
CASSIA ANGUSTIFOLIA WHOLE	COMMELINA BENGHALENSIS
DIOSCOREA LLOYDIANA WHOLE	INDIGOFERA HIRSUTA
SCHIZACHYRIUM SPADICEUM WHOLE	GALIUM VERUM
ABIES ALBA MILL.	HAMAMELIS VIRGINIANA
ANTHYLLIS RUBICUNDA WHOLE	DIPSACUS FULLONUM
AILANTHUS FLAVESCENS WHOLE	BRASSICA JUNCEA
COCKLEBUR	ULMUS MINOR
SOLIDAGO SIMPLEX VAR. NANA WHOLE	DAUCUS CAROTA
LEPTALIX GRANDIFOLIA WHOLE	ESCHSCHOLZIA CALIFORNICA
OXALIS VULGARIS WHOLE	PIPER NIGRUM
CISTUS CORSICUS WHOLE	JUNIPERUS VIRGINIANA
ARISTOLOCHIA RUGOSA LAM.	THYMUS PRAECOX
ALBIZIA JULIBRISSIN WHOLE	RUBUS CANADENSIS
VICIA NEMORALIS WHOLE	ACER RUBRUM
PARIETARIA PUNCTATA WHOLE	SANGUINARIA CANADENSIS
ACTAEA RACEMOSA L.	PAPAVER SOMNIFERUM
CALLUNA VULGARIS	ULMUS MINOR
HEN'S-EYES WHOLE	TEPHROSIA VIRGINIANA
CHIMAPHILA UMBELLATA WHOLE	JUNIPERUS VIRGINIANA
PINUS SQUAMOSA WHOLE	DIOSCOREA PRAEHENSILIS
TYPHA ELONGATA WHOLE	CISTUS CRETICUS
SMILAX CILIATA WHOLE	ALOYSIA TRIPHYLLA
CALIFORNIA POPPY WHOLE	LONICERA HYPOGLAUCA
SMILAX SPINULOSA WHOLE	SMILAX AURICULATA
BABY SAGE [HOC]	CORYLUS AMERICANA
TRIPSACUM COMPRESSUM WHOLE	RICINUS COMMUNIS
HYBANTHUS NYASSENSIS WHOLE	PHYSALIS VIRGINIANA
SCHISANDRA JAPONICA WHOLE	ALCHEMILLA XANTHOCHLORA
CURCUMA TINCTORIA WHOLE	MATRICARIA CHAMOMILLA
QUERCUS QUINQUELOBA WHOLE	FICUS CARICA
ULMUS MINOR [WHO-DD]	CHIONANTHUS VIRGINICUS
PINUS KHASYANA WHOLE	KNAUTIA ARVENSIS
SISYMBRIUM FLUVIATILE WHOLE	NYMPHAEA ODORATA
KNAUTIA HIRSUTA WHOLE	RANUNCULUS ACRIS
ESCHSCHOLZIA CALIFORNICA	FOMES FOMENTARIUS
STELLARIA LANUGINOSA WHOLE	GALEGA OFFICINALIS
FOENICULUM GIGANTEUM WHOLE	FILIPENDULA ULMARIA
CORIANDROPSIS SYRIACA WHOLE	BERBERIS VULGARIS
ROSA ISTRICA WHOLE	KHAYA ANTHOTHECA
ORIGANUM ONITES WHOLE	ANTHYLLIS VULNERARIA
QUERCUS CANA WHOLE	BOLETUS EDULIS
ROBINIA INERMIS WHOLE	MAMMEA AMERICANA
RUBUS CONGRUUS WHOLE	ANGELICA SINENSIS
CYANOCOCCUS LIPARUS WHOLE	PERSICARIA HYDROPIPEROIDES
VITIS APIIFOLIA WHOLE	SENNA OCCIDENTALIS
ANNUAL RAGWEED	CYANTHILLIUM CINEREUM
URENA HETEROMORPHA WHOLE	SPERMACOCE VERTICILLATA
NASTURTIUM IBERIS WHOLE	TRAMETES VERSICOLOR
ERYTHRINA PELLIGERA WHOLE	ALLIUM PORRUM
CARDARIA DRABA WHOLE	CAPSELLA BURSA-PASTORIS
ATRACTYLIS OVATA WHOLE	LONICERA PERICLYMENUM
CINCINALIS AQUILINA WHOLE	HARPAGOPHYTUM PROCUMBENS
CYPERUS YOSHINAGAE WHOLE	DAPHNE SERICEA
CONYZA DENTATA WHOLE	CURCUMA ZEDOARIA
TORMINALIS GLABERRIMA WHOLE	MANDRAGORA OFFICINARUM
HORSETAIL HERB [EMA HERBAL SUBSTANCE]	LYCIUM BARBARUM
BORRERIA REMOTIFOLIA WHOLE	TYPHA LATIFOLIA
ARDISIA CRENULATA WHOLE	JATROPHA CURCAS
WAX MYRTLE WHOLE	CENTAURIUM ERYTHRAEA
TAO WHOLE	RANUNCULUS ACRIS
PRUNELLA VULGARIS [INCI]	LINARIA VULGARIS
RAPHANUS FUGAX WHOLE	MOMORDICA COCHINCHINENSIS
CASTANEA SINENSIS WHOLE	PETROSELINUM CRISPUM
ARISTOLOCHIA BONPLANDII WHOLE	RUBUS TRIVIALIS
GLADIOLUS ANORTHANTHUS WHOLE	CORNUS OFFICINALIS
CITRUS VANGASAY WHOLE	PTERIDIUM AQUILINUM
CNICUS BENEDICTUS L.	LILIUM CANDIDUM
EUGENIA RICHARDIANA WHOLE	ORIGANUM MAJORANA
RUTA DIVARICATA WHOLE	SONCHUS OLERACEUS
SWEET TEA VINE WHOLE	CHIMAPHILA UMBELLATA
LEPIDIUM DANIELSII WHOLE	ERUCA VESICARIA
LINARIA CILIATA WHOLE	GYMNEMA SYLVESTRE
ANTIRRHINUM LINARIOIDES WHOLE	BUTCHER'S-BROOM
DRYOPSILA VIRENS WHOLE	CENTAURIUM ERYTHRAEA
APIUM GRAVEOLENS L.	NEPHROLEPIS CORDIFOLIA
LIFE-EVERLASTING WHOLE	NEPETA HINDOSTANA
HIBISCUS PETIOLIFLORUS WHOLE	DESMODIUM GLUTINOSUM
LAURUS BURMANNI WHOLE	ABIES ALBA
CLITORIA GLADIATA WHOLE	LEPIDIUM VIRGINICUM
CELTIS BERLANDIERI WHOLE	BLUMEA LACERA
LYCOPUS SINUATUS WHOLE	CITRUS RETICULATA
JAPANESE HONEYSUCKLE [HOC]	SAPOSHNIKOVIA DIVARICATA
MELANDRIUM DIVARICATUM WHOLE	COCCINIA HIRTELLA
HYGROPHILA HELODES WHOLE	LEONURUS CARDIACA
RADERMACHIA INCISA WHOLE	MELIA AZEDARACH
MAGNOLIA FRONDOSA WHOLE	JUNIPERUS VIRGINIANA
MAJANA AMBOINICA WHOLE	CROTON DRACONOIDES
AMOMUM CURCUMA WHOLE	EQUISETUM HYEMALE
COLOCASIA MUCRONATA WHOLE	MILK THISTLE
DIPSACUS PURPURASCENS WHOLE	SISYMBRIUM OFFICINALE
LEVISTICUM OFFICINALE	CRATAEGUS AZAROLUS
COW CLOVER WHOLE	CITRUS RETICULATA
CHELIDONIUM QUERCIFOLIUM WHOLE	ARTEMISIA ABSINTHIUM
DRAKSHA WHOLE	ERUCA VESICARIA
TORREY'S RUSH WHOLE	GLYCYRRHIZA URALENSIS
SCLAREA PRATENSIS WHOLE	ALECTRA SESSILIFLORA
RANUNCULUS SUBTUBEROSUS WHOLE	PLATANUS OCCIDENTALIS
SWEETBAY MAGNOLIA WHOLE	VINCA MAJOR
EPIMEDIUM GRANDIFLORUM [WHO-DD]	SALIX BABYLONICA
STACHYS BALLOTA WHOLE	SYMPHYTUM OFFICINALE
ULMUS TETRANDRA WHOLE	SENNA ALEXANDRINA
ALLIUM AOBANUM WHOLE	KALANCHOE CRENATA
BOLETUS SEMIOVATUS WHOLE	EPIMEDIUM PUBESCENS
ARTEMISIA STEWARTII WHOLE	CLINOPODIUM POLYCEPHALUM
PURPLE CLOVER WHOLE	GLADIOLUS DALENII
RHAMNUS FRANGULA [WHO-DD]	SALVIA MICROPHYLLA
BIDENS BIPINNATA L.	MELIA AZEDARACH
TILIA NEGLECTA WHOLE	BIDENS PILOSA
VINCA MAJOR [WHO-DD]	DIPLOTAXIS ERUCOIDES
SANGUINARIA CANADENSIS L.	SCHOENOPLECTUS TABERNAEMONTANI
KHAYA WILDEMANII WHOLE	SALIX BABYLONICA
ODOSTEMON AQUIFOLIUS WHOLE	MAGNOLIA OFFICINALIS
RHYNCHOSTYLIS RETUSA WHOLE	RUBUS PARVIFOLIUS
ASCLEPIAS CURASSAVICA	PLECTRANTHUS AMBOINICUS
BLUMEA ESQUIROLII WHOLE	ALECTRA SESSILIFLORA
UNGULINA MARGINATA WHOLE	CAPSELLA BURSA-PASTORIS
GYROTHECA TINCTORIA WHOLE	PONTEDERIA CORDATA
CAPSELLA BURSA-PASTORIS [WHO-DD]	ARCTIUM LAPPA
CLADIUM MARISCUS WHOLE	CITRUS AURANTIUM
QUASSIA-WOOD WHOLE	CENTAURIUM PULCHELLUM
SUCCISA ARVENSIS WHOLE	SALVIA OFFICINALIS
MIKANIA FERRUGINEA WHOLE	TYPHA LATIFOLIA
AGELAEA KATANGENSIS WHOLE	HYGROPHILA COSTATA
ALLIUM ESCULENTUM WHOLE	LEONURUS CARDIACA
CASSIA LUCIDA WHOLE	RANUNCULUS ACRIS
ALLIUM CHANETII WHOLE	HYPERICUM TRIQUETRIFOLIUM
LAUREOLA MAS WHOLE	CHIONANTHUS VIRGINICUS
CHINESE GINSENG WHOLE	PINUS MUGO
PAPAVER APODOCARPUM WHOLE	DRYOBALANOPS AROMATICA
SANGUINARIA ROTUNDIFOLIA WHOLE	ZANTHOXYLUM ARMATUM
TEUCRIUM CHARAMONIENSE WHOLE	ECHINACEA
NORTHERN BRACKEN FERN WHOLE	LEONURUS CARDIACA
CASTANEA VESCA VAR. AMERICANA WHOLE	RUBUS ALLEGHENIENSIS
JUSSIAEA POLYGONIFOLIA WHOLE	MOMORDICA CHARANTIA
ANTHYLLIS CALCICOLA WHOLE	RUBUS CANADENSIS
SISYMBRIUM TENUIFOLIUM WHOLE	PRUNUS PERSICA
ARDISIA KUSUKUSENSIS WHOLE	SILYBUM MARIANUM
GYMNANTHELIA PROXIMA WHOLE	TYPHA LATIFOLIA
CLITORIA MARIANA L.	CENTAUREA BENEDICTA
RHAMNUS SANGUINO WHOLE	SAPONARIA OFFICINALIS
ARTEMISIA PENDULA WHOLE	RUBUS FLAGELLARIS
MILK THISTLE [HOC]	RICINUS COMMUNIS
PERSIAN WALNUT WHOLE	EUGENIA BIFLORA
AESCULUS PAVIA L.	WOOD SPIDER
GREENBRIER WHOLE	HAMAMELIS VIRGINIANA
BAEOBOTRYS RUFESCENS WHOLE	SPERMACOCE VERTICILLATA
ROSA MOLLARDIANA WHOLE	PLANTAGO MAJOR
DANG QUAI	FOMITOPSIS PINICOLA
DIPLOPAPPUS MARIANUS WHOLE	NUPHAR LUTEA
MENTUCCIA WHOLE	COMMELINA BENGHALENSIS
BIDENS CYNAPIIFOLIA WHOLE	SALIX NIGRA
JUSSIAEA BERTEROANA WHOLE	ACORUS CALAMUS
AESCULUS PROCERA WHOLE	AFROHYBANTHUS ENNEASPERMUS
BERBERIS SULCATA WHOLE	CRITHMUM MARITIMUM
CASTALIA LEKOPHYLLA WHOLE	DIOSCOREA VILLOSA
GALLITRICHUM MACULATUM WHOLE	OXALIS ACETOSELLA
LONICERA PERICLYMENUM WHOLE	CENTAUREA BENEDICTA
YELLOW PUCCOON WHOLE	TRIBULUS TERRESTRIS
GOOSE GRASS WHOLE	EUPATORIUM FORTUNEI
TRIBULUS KOTSCHYANUS WHOLE	BERBERIS VULGARIS
